Query,Refcode,LAB1,LAB2,DIST1,LOS,SHIELDING,SHIELD_ATOM
1,JIXROA,N6,O3,3.061,+,0.319,C8
1,KEDDEF01,N5,O3,3.467,-,-0.001,C3
1,KEDDEF01,N5,O3,3.848,-,-0.943,O3
1,KEFLEM02,N2,O1,3.195,+,0.194,O2
1,KEFLEM02,N2,O2,3.165,+,0.219,O1
1,KEFLEM03,N1,O1,3.217,+,0.187,O2
1,KEFLEM03,N1,O2,3.186,+,0.213,O1
1,KEFLEM04,N1,O1,3.234,+,0.190,O2
1,KEFLEM04,N1,O2,3.214,+,0.206,O1
1,KEFLEM05,N1,O1,3.257,+,0.186,O2
1,KEFLEM05,N1,O2,3.237,+,0.203,O1
1,KEFLEM06,N1,O1,3.279,+,0.189,O2
1,KEFLEM06,N1,O2,3.266,+,0.202,O1
1,KEFLEM07,N1,O1,3.300,+,0.191,O2
1,KEFLEM07,N1,O2,3.293,+,0.191,O1
1,KEFLEM08,N1,O1,3.331,+,0.186,O2
1,KEFLEM08,N1,O2,3.321,+,0.188,O1
1,KEFLEM09,N1,O1,3.300,+,0.191,O2
1,KEFLEM09,N1,O2,3.293,+,0.191,O1
1,KEFLEM10,N1,O1,3.232,+,0.221,O2
1,KEFLEM10,N1,O2,3.188,+,0.238,O1
1,KEFLEM11,N1,O1,3.266,-,-0.031,O2
1,KEFLEM11,N1,O2,3.248,-,-0.000,O1
1,KEFLEM12,N1,O1,3.279,-,-0.087,O2
1,KEFLEM12,N1,O2,3.079,+,0.083,O1
1,KEFLEM13,N1,O1,3.260,-,-0.065,O2
1,KEFLEM13,N1,O2,3.092,+,0.053,O1
1,KEFLEM14,N1,O1,3.023,+,0.089,O2
1,KEFLEM14,N1,O2,3.210,-,-0.061,O1
1,KEFLEM15,N1,O1,2.927,+,0.132,O2
1,KEFLEM15,N1,O2,3.157,-,-0.073,O1
1,KISBEW,N2,O1,3.361,+,0.036,C1
1,KISBEW,N2,O1,3.996,-,-0.126,O1
1,KISBEW,N2,O2,3.916,+,0.109,O1
1,KITZOF,N4,O4,3.966,-,-0.729,O4
1,KIVVET,N2,O3,3.021,+,0.202,C5
1,KIVVET,N4,O6,3.024,+,0.162,C24
1,KIWCIF,N2,O7,3.311,+,0.104,O7
1,KIWLAG,N2,O1,3.808,+,0.022,O2
1,KIWLAG,N2,O2,3.380,+,0.248,C2
1,KIXWEW,N1,O2,3.647,-,-0.053,N1
1,KIXWEW,N2,O5,3.321,+,0.156,C42
1,KIXWEW,N1,O3,3.476,+,0.094,N1
1,KIXYAU,N1,O8,2.981,+,0.300,C2
1,KIXYAU,N2,O1,3.919,-,-0.238,O8
1,KIXYAU,N2,O3,3.189,+,0.263,O8
1,KIXYEY,N3,O2,3.929,-,-0.237,O8
1,KIXYEY,N3,O7,3.325,+,0.260,C43
1,KIXYEY,N1,O8,3.710,-,-0.036,O2
1,KIXYEY,N1,O10,3.946,-,-0.254,O2
1,KIXYEY,N4,O2,3.995,-,-0.296,O10
1,KIXYEY,N2,O4,3.467,-,-0.081,N2
1,KIXYEY,N2,O5,3.264,+,0.088,N2
1,KIYTUK,N2,O2,3.661,-,-0.003,C9
1,KIZWIC,N5,O4,3.937,-,-0.419,C3
1,KOBBEL,N2,O3,3.497,-,-0.217,O5
1,KOBBEL,N2,O4,3.248,+,0.229,C2
1,KOBBEL,N2,O5,3.679,-,-0.144,N2
1,KOBBEL,N3,O5,3.362,-,-0.090,O3
1,LIKHIZ,N1,O3,3.804,+,0.042,O2
1,LILTIM,N2,O2,3.893,-,-0.145,C15
1,LIMBOB,N3,O1,3.839,-,-0.206,C6
1,LIMBOB,N3,O2,3.281,+,0.204,O3
1,LIMMUS,N2,O4,3.891,-,-0.777,O3
1,LIMMUS,N2,O5,3.675,-,-0.246,O4
1,LIMMUS,N2,O6,2.907,+,0.295,O3
1,LIMMUS,N2,O6,3.705,-,-0.196,O3
1,LIMMUS,N3,O3,3.396,-,-0.116,O6
1,LIMMUS,N3,O4,3.284,+,0.087,O6
1,LINKEB,N1,O1,3.696,+,0.059,C1
1,LINKEB,N1,O1,3.773,-,-0.107,C1
1,LINKEB,N1,O3,3.880,+,0.089,C1
1,LIPQIN,N2,O2,3.798,-,-0.168,O3
1,LIPQIN,N2,O3,2.971,+,0.202,O3
1,LIPYER,N2,O4,2.930,+,0.170,C2
1,LIPYER,N2,O4,3.521,-,-0.303,O3
1,LIPYER,N2,O6,3.494,+,0.132,O1
1,LIPYER,N2,O2,3.997,-,-0.807,O1
1,LIPYER,N9,O1,3.536,-,-0.273,O2
1,LIPYER,N9,O6,3.448,+,0.125,C5
1,LIPYER,N11,O1,3.602,+,0.066,O4
1,LIPYER,N11,O1,3.801,-,-0.146,O6
1,LIPYER,N11,O5,3.603,-,-0.246,C7
1,LIPYER,N11,O3,3.645,-,-0.426,O4
1,LIPYER,N11,O3,3.777,-,-0.419,O4
1,LIRMIL,N2,O1,3.289,+,0.080,O1
1,LIRMIL,N2,O1,3.507,+,0.182,C3
1,LIRMIL,N2,O1,3.912,-,-1.142,O1
1,LIRMIL,N2,O2,3.932,-,-0.124,O1
1,LISJUV,N2,O6,3.054,+,0.203,O4
1,LISJUV,N5,O2,3.149,+,0.208,C43
1,MANMUJ09,N4,O6,3.807,-,-0.362,O5
1,MANMUJ09,N9,O13,3.465,-,-0.018,O12
1,MANMUJ09,N4,O15,3.017,+,0.287,C10
1,MANMUJ09,N9,O8,3.812,-,-0.133,O11
1,MANMUJ09,N4,O16,3.174,+,0.213,O5
1,MANMUJ09,N9,O9,3.571,-,-0.126,O12
1,MANMUJ09,N9,O9,3.849,-,-0.657,O12
1,MANMUJ09,N10,O12,3.904,-,-0.440,O13
1,MANMUJ09,N5,O5,3.614,-,-0.171,O6
1,MANMUJ09,N10,O9,3.464,+,0.033,C21
