Query, Refcode,LAB1  ,LAB2  ,DIST1 
1,MIPZET,N4,O3,3.186
1,MIPZET,N4,O4,3.345
1,MIPZET,N4,O5,3.985
1,MIPZET,N5,O1,3.567
1,MIPZET,N5,O2,3.045
1,MIPZIX,N4,O2,3.335
1,MIPZIX,N4,O2,3.977
1,MIPZIX,N4,O4,3.372
1,MIPZIX,N4,O1,3.939
1,MIPZIX,N5,O2,3.633
1,MIPZIX,N5,O1,3.290
1,MIPZOD,N4,O2,3.180
1,MIPZOD,N4,O2,3.569
1,MIPZOD,N4,O3,3.665
1,MIPZOD,N4,O4,3.691
1,MIPZOD,N4,O5,3.766
1,MIPZOD,N5,O2,3.617
1,MIPZOD,N5,O3,3.843
1,MIPZOD,N5,O4,3.796
1,MIPZOD,N5,O4,3.912
1,MIPZOD,N5,O5,3.314
1,MIQHAY,N1,O3,3.113
1,MIQHAY,N1,O5,3.238
1,MIQHAY,N2,O3,3.797
1,MIQHAY,N2,O5,2.854
1,MIQHAY,N2,O5,3.643
1,MIQHAY,N2,O6,3.664
1,MIRMUY,N2,O5,3.963
1,MISWOD,N3,O3,3.360
1,NBZOAC17,N1,O2,3.287
1,NBZOAC18,N1,O3,3.480
1,NBZOAC18,N1,O3,3.969
1,NBZOAC18,N1,O4,2.951
1,NBZOAC18,N1,O4,3.562
1,NBZOAC19,N1,O3,3.289
1,NBZOAC19,N1,O3,3.997
1,NBZOAC19,N1,O4,3.096
1,NBZOAC19,N1,O4,3.634
1,NIKLOL,N1,O5,3.991
1,NIKLOL,N1,O7,3.219
1,NIKLOL,N3,O1,3.503
1,NIKLOL,N3,O2,3.519
1,NIKLOL,N3,O3,3.574
1,NIKLOL,N4,O4,3.558
1,NIKLOL,N2,O8,3.370
1,NIKYEO,N2,O4,3.866
1,NIKYEO01,N2,O4,3.889
1,NILCET,N15,O1,3.550
1,NILCET,N15,O12,3.968
1,NILCET,N15,O4,3.239
1,NILCET,N15,O5,3.745
1,NILCET,N15,O8,3.557
1,NILCET,N15,O9,2.979
1,NILCET,N15,O9,3.758
1,NILCET,N16,O1,3.168
1,NILCET,N16,O11,3.257
1,NILCET,N16,O12,3.380
1,NILCET,N16,O2,3.192
1,NILCET,N16,O6,3.929
1,NILZIU,N1,O3,2.978
1,NIMXUF,N5,O3,3.383
1,NIMXUF,N5,O4,3.065
1,NIMXUF,N5,O5,3.276
1,NIMXUF,N5,O5,3.719
1,NIMXUF,N6,O2,3.380
1,NIMXUF,N6,O1,3.071
1,NIMZIV,N1,O3,3.476
1,NIMZIV,N2,O1,3.412
1,NIMZIV,N1,O4,3.642
1,NIMZIV,N2,O2,3.710
1,NIMZIV,N2,O2,3.997
1,NINBIY,N1,O4,3.842
1,NINBIY,N1,O6,3.388
1,NINJUS,N1,O1,3.670
1,NINJUS,N1,O2,3.843
1,NINVOY,N2,O5,3.154
1,NINYUH,N3,O5,3.152
1,NINYUH,N3,O9,3.658
1,NINYUH,N9,O1,3.167
1,NINYUH,N9,O1,3.571
1,NINYUH,N3,O6,3.661
1,NINYUH,N6,O10,3.009
1,NINYUH,N6,O2,3.330
1,NIPXUI,N3,O2,3.332
1,NIPXUI,N3,O5,3.756
1,NIQTOZ,N3,O4,3.281
1,NIQTOZ,N3,O5,3.803
1,NIQTOZ,N3,O8,3.853
1,NIQTOZ,N4,O2,3.979
1,NIQTOZ,N4,O3,3.317
1,NIQTOZ,N4,O9,3.543
1,NIQTOZ,N8,O4,3.661
1,NTCPOL02,N1,O2,3.278
1,OHUJOQ01,N1,O1,3.578
1,OHUJOQ01,N1,O2,3.730
1,OHUJOQ01,N1,O2,3.817
1,PIJFIA,N2,O5,3.343
1,PIJFIA,N4,O3,3.169
1,PINPEK,N1,O6,3.668
1,PINPEK01,N4,O10,3.328
1,PINSEN,N3,O3,3.328
1,PIPGON,N4,O1,3.143
1,PIPGON,N2,O4,3.494
1,PITFOQ,N3,O1A,3.680
1,PITFUW,N3,O1,3.843
1,PITFUW,N3,O1A,3.044
1,PITFUW,N3,O2A,3.489
1,PITGAD,N5,O3,2.947
1,PITGAD,N5,O4,3.649
1,PITGAD,N5,O5,3.429
1,PITGAD,N6,O1,3.886
1,PITGAD,N6,O1,3.938
1,PITGAD,N6,O2,3.773
1,PITGAD,N6,O3,3.946
1,PITGAD,N6,O6,3.354
1,PITGAD,N7,O4,3.837
1,PITGAD,N7,O5,3.524
1,PITGAD,N7,O6,3.796
1,PITGEH,N5,O1,3.505
1,PITGEH,N5,O6,3.425
1,PITGEH,N5,O7,3.650
1,PITGEH,N6,O4,3.979
1,PITGEH,N6,O5,3.216
1,PITGEH,N6,O7,3.872
1,PITGEH,N7,O3,3.879
1,PITGEH,N7,O7,3.129
1,PITGEH,N7,O8,3.976
1,PITGEH,N8,O2,2.911
1,PITGEH,N8,O3,3.932
1,PITGEH,N8,O5,3.011
1,PITGIL,N5,O3,3.526
1,PITGIL,N5,O8,3.858
1,PITGIL,N5,O8,3.878
1,PITGIL,N6,O1,3.929
1,PITGIL,N6,O5,3.373
1,PITGIL,N6,O6,3.791
1,PITGIL,N7,O2,2.971
1,PITGIL,N7,O4,3.448
1,PITGIL,N7,O6,3.580
1,PITGIL,N8,O3,3.558
1,PITGIL,N8,O4,3.841
1,PITGIL,N8,O5,3.378
1,PITGIL,N8,O6,3.803
1,PITGIL,N8,O7,3.186
1,PITGIL,N8,O8,3.756
1,PITJIO,N3,O2,3.625
1,PITJIO,N3,O3,2.873
1,PIVJUC,N1,O1,3.429
1,PIVJUC,N1,O2,3.903
1,PIZWIH,N1,O3,3.204
1,QAXMEH32,N2,O1,3.848
1,QAXMEH32,N2,O2,3.655
1,QAXMEH33,N3,O1,3.114
1,QAXMEH48,N3,O1,3.184
1,QAXMEH49,N3,O1,3.102
1,QAXMEH50,N3,O1,3.102
1,QAXMEH51,N3,O1,3.103
1,QIJPEH,N6,O4,3.930
1,QIJPEH,N6,O5,3.698
1,QIJPEH,N6,O8,3.216
1,QIJPEH,N6,O9,3.783
1,QIJPEH,N6,O9,3.787
1,QIJPEH,N6,O11,3.076
1,QIJPEH,N6,O12,3.946
1,QIJPEH,N7,O8,3.267
1,QIJPEH,N7,O11,3.771
1,QIJPEH,N7,O13,3.216
1,QIJPEH,N11,O4,3.652
1,QIJPEH,N11,O5,3.786
1,QIJPEH,N12,O6,3.613
1,QIJPIL,N6,O6,3.427
1,QIJPIL,N6,O7,3.077
1,QIJPIL,N6,O8,3.485
1,QIJPIL,N7,O4,3.835
1,QIJPIL,N7,O5,3.438
1,QIJPIL,N7,O7,3.140
1,QIJPIL,N7,O8,3.102
1,QIJPIL,N7,O9,3.166
1,QIJPIL,N11,O1,3.679
1,QIJPIL,N11,O2,3.639
1,QIJPIL,N11,O12,3.980
